start - Pair{first=-1, second=-1} -> 2
{ - Pair{first=-1, second=-1} -> 4
int - Pair{first=-1, second=-1} -> 2
IDENTIFIER - Pair{first=97, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
int - Pair{first=-1, second=-1} -> 2
IDENTIFIER - Pair{first=98, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
int - Pair{first=-1, second=-1} -> 2
IDENTIFIER - Pair{first=99, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
read - Pair{first=-1, second=-1} -> 2
( - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=97, second=0} -> 1
) - Pair{first=-1, second=-1} -> 4
; - Pair{first=-1, second=-1} -> 4
read - Pair{first=-1, second=-1} -> 2
( - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=98, second=0} -> 1
) - Pair{first=-1, second=-1} -> 4
; - Pair{first=-1, second=-1} -> 4
read - Pair{first=-1, second=-1} -> 2
( - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=99, second=0} -> 1
) - Pair{first=-1, second=-1} -> 4
; - Pair{first=-1, second=-1} -> 4
int - Pair{first=-1, second=-1} -> 2
IDENTIFIER - Pair{first=40, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
if - Pair{first=-1, second=-1} -> 2
( - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=97, second=0} -> 1
> - Pair{first=-1, second=-1} -> 3
IDENTIFIER - Pair{first=98, second=0} -> 1
) - Pair{first=-1, second=-1} -> 4
{ - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=40, second=0} -> 1
= - Pair{first=-1, second=-1} -> 3
IDENTIFIER - Pair{first=97, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
} - Pair{first=-1, second=-1} -> 4
else - Pair{first=-1, second=-1} -> 2
{ - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=40, second=0} -> 1
= - Pair{first=-1, second=-1} -> 3
IDENTIFIER - Pair{first=98, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
} - Pair{first=-1, second=-1} -> 4
if - Pair{first=-1, second=-1} -> 2
( - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=99, second=0} -> 1
> - Pair{first=-1, second=-1} -> 3
IDENTIFIER - Pair{first=40, second=0} -> 1
) - Pair{first=-1, second=-1} -> 4
{ - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=40, second=0} -> 1
= - Pair{first=-1, second=-1} -> 3
IDENTIFIER - Pair{first=99, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
} - Pair{first=-1, second=-1} -> 4
else - Pair{first=-1, second=-1} -> 2
{ - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=99, second=0} -> 1
= - Pair{first=-1, second=-1} -> 3
CONST - Pair{first=48, second=0} -> 0
; - Pair{first=-1, second=-1} -> 4
} - Pair{first=-1, second=-1} -> 4
string - Pair{first=-1, second=-1} -> 2
IDENTIFIER - Pair{first=53, second=0} -> 1
; - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=53, second=0} -> 1
= - Pair{first=-1, second=-1} -> 3
CONST - Pair{first=86, second=0} -> 0
; - Pair{first=-1, second=-1} -> 4
write - Pair{first=-1, second=-1} -> 2
( - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=53, second=0} -> 1
) - Pair{first=-1, second=-1} -> 4
; - Pair{first=-1, second=-1} -> 4
write - Pair{first=-1, second=-1} -> 2
( - Pair{first=-1, second=-1} -> 4
IDENTIFIER - Pair{first=40, second=0} -> 1
) - Pair{first=-1, second=-1} -> 4
; - Pair{first=-1, second=-1} -> 4
} - Pair{first=-1, second=-1} -> 4

